No,year,month,day,hour,DEWP,PRES,Iws,Is,Ir,TEMP
1,2010,1,1,0,-21,1021,1.79,0,0,-11
2,2010,1,1,1,-21,1020,4.92,0,0,-12
3,2010,1,1,2,-21,1019,6.71,0,0,-11
4,2010,1,1,3,-21,1019,9.84,0,0,-14
5,2010,1,1,4,-20,1018,12.97,0,0,-12
6,2010,1,1,5,-19,1017,16.1,0,0,-10
7,2010,1,1,6,-19,1017,19.23,0,0,-9
8,2010,1,1,7,-19,1017,21.02,0,0,-9
9,2010,1,1,8,-19,1017,24.15,0,0,-9
10,2010,1,1,9,-20,1017,27.28,0,0,-8
11,2010,1,1,10,-19,1017,31.3,0,0,-7
12,2010,1,1,11,-18,1017,34.43,0,0,-5
13,2010,1,1,12,-19,1015,37.56,0,0,-5
14,2010,1,1,13,-18,1015,40.69,0,0,-3
15,2010,1,1,14,-18,1014,43.82,0,0,-2
16,2010,1,1,15,-18,1014,0.89,0,0,-1
17,2010,1,1,16,-19,1015,1.79,0,0,-2
18,2010,1,1,17,-18,1015,2.68,0,0,-3
19,2010,1,1,18,-18,1016,1.79,0,0,-5
20,2010,1,1,19,-17,1017,1.79,0,0,-4
21,2010,1,1,20,-17,1017,0.89,0,0,-5
22,2010,1,1,21,-17,1018,1.79,0,0,-5
23,2010,1,1,22,-17,1018,2.68,0,0,-5
24,2010,1,1,23,-17,1020,0.89,0,0,-5
25,2010,1,2,0,-16,1020,1.79,0,0,-4
26,2010,1,2,1,-15,1020,2.68,0,0,-4
27,2010,1,2,2,-11,1021,3.57,0,0,-5
28,2010,1,2,3,-7,1022,5.36,1,0,-5
29,2010,1,2,4,-7,1022,6.25,2,0,-5
30,2010,1,2,5,-7,1022,7.14,3,0,-6
31,2010,1,2,6,-7,1023,8.93,4,0,-6
32,2010,1,2,7,-7,1024,10.72,0,0,-5
33,2010,1,2,8,-8,1024,12.51,0,0,-6
34,2010,1,2,9,-7,1025,14.3,0,0,-5
35,2010,1,2,10,-7,1026,17.43,1,0,-5
36,2010,1,2,11,-8,1026,20.56,0,0,-5
37,2010,1,2,12,-8,1026,23.69,0,0,-5
38,2010,1,2,13,-8,1025,27.71,0,0,-5
39,2010,1,2,14,-9,1025,31.73,0,0,-5
40,2010,1,2,15,-9,1025,35.75,0,0,-5
41,2010,1,2,16,-9,1026,37.54,0,0,-5
42,2010,1,2,17,-8,1027,39.33,0,0,-5
43,2010,1,2,18,-8,1027,42.46,0,0,-5
44,2010,1,2,19,-8,1028,44.25,0,0,-5
45,2010,1,2,20,-7,1028,46.04,0,0,-5
46,2010,1,2,21,-7,1027,49.17,1,0,-5
47,2010,1,2,22,-8,1028,52.3,2,0,-6
48,2010,1,2,23,-8,1027,55.43,3,0,-6
49,2010,1,3,0,-7,1027,58.56,4,0,-6
50,2010,1,3,1,-8,1026,61.69,5,0,-6
51,2010,1,3,2,-8,1026,65.71,6,0,-7
52,2010,1,3,3,-8,1025,68.84,7,0,-7
53,2010,1,3,4,-8,1024,72.86,8,0,-7
54,2010,1,3,5,-9,1024,76.88,9,0,-8
55,2010,1,3,6,-10,1024,80.9,10,0,-8
56,2010,1,3,7,-10,1024,84.92,11,0,-9
57,2010,1,3,8,-10,1024,89.84,12,0,-9
58,2010,1,3,9,-11,1023,93.86,13,0,-9
59,2010,1,3,10,-11,1023,97.88,15,0,-9
60,2010,1,3,11,-11,1022,102.8,16,0,-9
61,2010,1,3,12,-11,1021,105.93,17,0,-9
62,2010,1,3,13,-11,1020,111.74,19,0,-9
63,2010,1,3,14,-11,1020,116.66,20,0,-9
64,2010,1,3,15,-11,1020,121.58,21,0,-9
65,2010,1,3,16,-11,1020,124.71,22,0,-9
66,2010,1,3,17,-11,1020,127.84,23,0,-9
67,2010,1,3,18,-11,1021,0.89,24,0,-9
68,2010,1,3,19,-11,1022,1.78,25,0,-9
69,2010,1,3,20,-10,1022,4.02,26,0,-9
70,2010,1,3,21,-11,1023,7.15,27,0,-10
71,2010,1,3,22,-11,1023,11.17,0,0,-9
72,2010,1,3,23,-12,1023,14.3,0,0,-11
73,2010,1,4,0,-14,1023,16.09,0,0,-12
74,2010,1,4,1,-16,1023,21.9,0,0,-9
75,2010,1,4,2,-17,1024,29.95,0,0,-10
76,2010,1,4,3,-18,1024,39.78,0,0,-11
77,2010,1,4,4,-19,1025,48.72,0,0,-11
78,2010,1,4,5,-20,1026,55.87,0,0,-12
79,2010,1,4,6,-21,1027,64.81,0,0,-12
80,2010,1,4,7,-21,1027,73.75,0,0,-13
81,2010,1,4,8,-22,1028,80.9,0,0,-13
82,2010,1,4,9,-22,1029,90.73,0,0,-13
83,2010,1,4,10,-22,1030,100.56,0,0,-12
84,2010,1,4,11,-23,1031,108.61,0,0,-12
85,2010,1,4,12,-21,1030,117.55,0,0,-11
86,2010,1,4,13,-20,1030,127.38,0,0,-10
87,2010,1,4,14,-21,1030,136.32,0,0,-10
88,2010,1,4,15,-21,1030,145.26,0,0,-9
89,2010,1,4,16,-21,1031,152.41,0,0,-9
